"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T07","01",15-JUL-98,13,50,"TGC","2",16,30,1,16
"T08","01",16-JUL-98,13,50,"MT","3",20,30,2,16
"T10","01",16-JUL-98,14,35,"CB","1",19,60,1,16
"T09","01",16-JUL-98,14,45,"PRA","5",20,0,1,16
"T01","01",20-JUL-98,11,50,"SJC","1",23,60,4,16
"T06","01",20-JUL-98,11,45,"JEB","4",24,100,2,16
"T09","01",22-JUL-98,13,30,"PRA","5",21,70,4,17
"T08","01",23-JUL-98,14,35,"MDM","1",21,100,5,17
"T10","01",24-JUL-98,13,40,"CB","1",20,60,2,17
"T07","01",24-JUL-98,13,50,"TGC","2",15.5,80,2,17
"T05","01",24-JUL-98,12,40,"RS","5",18,100,3,17
"T01","01",24-JUL-98,13,5,"SJC","1",19.6,60,2,17
"T06","01",28-JUL-98,11,37,"JEB","4",19,0,1,17
"T03","01",28-JUL-98,12,35,"HDN","2",18,0,3,17
"T02","02",28-JUL-98,14,0,"LT","3",17,30,2,17
"T08","01",31-JUL-98,15,5,"MDM","1",20,30,2,18
"T07","01",31-JUL-98,14,15,"TGC","2",16.5,0,1,18
"T10","01",31-JUL-98,11,5,"CB","1",17.5,50,2,18
"T01","01",31-JUL-98,13,20,"SJC","1",18.8,60,4,18
"T03","01",04-AUG-98,13,15,"HDN","2",18,100,5,18
"T02","02",04-AUG-98,13,50,"LT","3",17,50,4,18
"T02","01",04-AUG-98,15,30,"LT","3",19,100,3,18
"T05","01",04-AUG-98,12,35,"RS","5",17.5,100,4,18
"T09","01",04-AUG-98,11,30,"PRA","5",18,100,3,18
"T06","01",04-AUG-98,11,45,"JEB","4",19,70,4,18
"T11","01",05-AUG-98,12,55,"AJT","1",12.4,60,3,19
"T02","01",05-AUG-98,10,55,"LT","3",19.5,100,4,19
"T01","01",05-AUG-98,13,10,"SJC","1",22.8,90,3,19
"T08","01",05-AUG-98,14,35,"MDM","1",24,100,3,19
"T10","01",05-AUG-98,13,35,"CB","1",22,100,3,19
"T07","01",05-AUG-98,14,45,"TGC","2",17.4,80,3,19
"T05","01",07-AUG-98,12,10,"RS","5",20.5,100,2,19
"T06","01",07-AUG-98,11,40,"JEB","4",24,100,1,19
"T03","01",08-AUG-98,12,0,"HDN","2",18,100,3,19
"T09","01",11-AUG-98,14,5,"MRJ","2",23.8,100,0,19
"T11","01",11-AUG-98,10,20,"AJT","1",16.1,80,3,19
"T02","02",11-AUG-98,14,30,"LT","3",17,30,2,19
"T03","01",12-AUG-98,12,30,"HDN","2",16,80,3,20
"T02","01",13-AUG-98,10,50,"LT","3",17,100,2,20
"T08","01",13-AUG-98,13,0,"MT","3",19.5,50,4,20
"T10","01",13-AUG-98,11,45,"CB","1",19,70,4,20
"T06","01",14-AUG-98,11,50,"JEB","4",21,50,2,20
"T01","01",17-AUG-98,11,30,"SJC","1",21.6,90,5,20
"T05","01",18-AUG-98,12,35,"RS","5",20,100,3,20
"T02","02",18-AUG-98,14,0,"LT","3",18,60,4,20
"T01","01",19-AUG-98,13,15,"SJC","1",22.2,100,2,21
"T08","01",20-AUG-98,11,0,"MT","3",19,30,4,21
"T03","01",21-AUG-98,11,15,"RA","1",15,60,5,21
"T05","01",22-AUG-98,12,40,"RS","5",19,70,2,21
"T10","01",24-AUG-98,13,0,"CB","1",18,80,4,21
"T05","01",24-AUG-98,12,30,"RS","5",17.5,80,4,21
"T02","01",25-AUG-98,13,40,"LT","3",12,20,1,21
"T03","01",26-AUG-98,10,45,"RS","3",14.5,90,3,22
"T11","01",26-AUG-98,12,35,"AJT","1",11.5,40,2,22
"T10","01",27-AUG-98,11,50,"CB","1",17,70,4,22
"T09","01",27-AUG-98,14,0,"PRA","5",20,70,2,22
"T07","01",27-AUG-98,11,6,"TGC","2",15.5,100,2,22
"T08","01",27-AUG-98,14,5,"MT","3",20,70,2,22
"T11","01",30-AUG-98,9,20,"AJT","1",13.1,100,2,22
"T01","01",01-SEP-98,13,30,"SJC","1",21.2,80,1,22
"T01","01",02-SEP-98,11,15,"SJC","1",21.1,100,1,23
"T10","01",02-SEP-98,11,30,"CB","1",20,90,1,23
"T11","01",02-SEP-98,12,10,"AJT","1",15.4,20,2,23
"T04","01",02-SEP-98,12,50,"ASG","7",15.9,40,2,23
"T06","01",02-SEP-98,11,45,"JEB","4",20,100,1,23
"T07","01",02-SEP-98,12,20,"TGC","2",18,100,1,23
"T08","01",02-SEP-98,13,15,"MDM","1",21,0,1,23
"T05","01",03-SEP-98,12,25,"RS","5",18.5,100,2,23
"T03","01",03-SEP-98,11,40,"HDN","2",15,100,2,23
"T09","01",04-SEP-98,11,15,"PRA","5",18,70,3,23
"T02","02",08-SEP-98,15,10,"LT","3",17,10,4,23
"T02","01",08-SEP-98,13,35,"LT","3",17,30,4,23
"T02","01",09-SEP-98,14,20,"LT","3",16,60,1,24
"T05","01",11-SEP-98,12,10,"RS","5",15,20,3,24
"T10","01",11-SEP-98,13,10,"CB","1",15.5,70,3,24
"T02","02",14-SEP-98,13,30,"LT","3",15,60,5,24
"T07","01",14-SEP-98,11,24,"TGC","2",14.3,100,3,24
"T01","01",15-SEP-98,13,25,"SJC","1",18.2,40,9,24
"T09","01",17-SEP-98,14,30,"PRA","5",19,80,2,25
"T07","01",17-SEP-98,14,30,"TGC","2",14.5,100,1,25
"T08","01",17-SEP-98,11,5,"MT","3",16.5,60,2,25
"T10","01",17-SEP-98,10,45,"OH","3",16.9,100,3,25
"T01","01",21-SEP-98,13,10,"SJC","1",19.2,20,2,25
"T02","02",21-SEP-98,11,30,"DH","4",20.6,100,2,25
"T02","01",21-SEP-98,13,20,"DH","4",22.5,100,2,25
"T05","01",21-SEP-98,12,30,"RS","5",19.5,80,3,25
"T06","01",22-SEP-98,15,45,"AMR","3",18,40,1,25
"T08","01",23-SEP-98,13,40,"MDM","1",21,100,4,26
"T03","01",23-SEP-98,11,45,"HDN","2",15,100,3,26
"T06","01",24-SEP-98,13,5,"AMR","3",19,100,1,26
"T10","01",25-SEP-98,12,50,"CB","1",19.5,40,4,26
"T07","01",29-SEP-98,15,12,"TGC","2",16,100,1,26
"T05","01",29-SEP-98,11,15,"RS","5",14,20,3,26
"T05","01",30-JAN-99,,,"RES","5",14,100,3,
"T05","01",01-APR-99,12,5,"RES","5",15,100,9,1
"T02","01",01-APR-99,13,5,"DH","4",12.2,100,2,1
"T08","01",01-APR-99,11,0,"MT","3",17.5,100,3,1
"T01","01",01-APR-99,11,45,"SJC","1",17.6,100,3,1
"T06","01",01-APR-99,11,25,"JEB","4",18,100,2,1
"T07","01",02-APR-99,13,54,"TGC","2",15.1,100,2,1
"T09","01",02-APR-99,11,33,"BJH","6",17,70,3,1
"T02","01",08-APR-99,13,0,"DH","4",16.8,90,0,2
"T02","02",08-APR-99,,,"DH","4",20,80,4,2
"T06","01",08-APR-99,11,45,"JEB","4",16,100,1,2
"T05","01",09-APR-99,,,"RES","5",14,100,3,2
"T08","01",09-APR-99,14,45,"MT","3",16,100,4,2
"T02","01",10-APR-99,14,30,"DH","4",14.4,80,3,2
"T06","01",16-APR-99,11,40,"JEB","4",16,50,1,3
"T03","01",23-APR-99,12,0,"HNS","4",14,100,2,4
"T06","01",27-APR-99,11,40,"JEB","4",17,90,4,4
"T07","01",27-APR-99,13,16,"TGC","2",14.6,100,3,4
"T02","01",27-APR-99,13,15,"DH","4",15.7,100,3,4
"T02","02",27-APR-99,14,30,"DH","4",15.1,100,2,4
"T08","01",27-APR-99,11,40,"MDM","1",16,60,5,4
"T09","01",27-APR-99,13,5,"BJH","6",18.5,80,4,4
"T05","01",28-APR-99,10,30,"KT","1",15,100,5,4
"T04","01",28-APR-99,14,5,"ASG","7",14.6,40,2,4
"T01","01",28-APR-99,13,20,"SJC","1",17.2,90,4,4
"T10","01",28-APR-99,14,0,"CB","1",17.5,90,4,4
"T11","01",28-APR-99,13,30,"AJT","1",16.1,100,3,4
"T02","01",29-APR-99,11,0,"DH","4",15,100,3,5
"T08","01",29-APR-99,14,0,"MDM","1",15,60,4,5
"T09","01",29-APR-99,14,37,"BJH","6",17.5,100,3,5
"T02","02",29-APR-99,13,15,"DH","4",16.4,100,2,5
"T01","01",29-APR-99,13,30,"SJC","1",14.4,100,4,5
"T10","01",30-APR-99,13,25,"CB","1",17,100,2,5
"T05","01",30-APR-99,10,30,"KT","1",16,100,3,5
"T06","01",04-MAY-99,11,30,"JEB","4",16,100,3,5
"T07","01",04-MAY-99,14,4,"TGC","2",14.6,100,3,5
"T11","01",05-MAY-99,13,15,"AJT","1",12.2,60,3,5
"T03","01",05-MAY-99,13,0,"HNS","4",15,100,4,5
"T07","01",07-MAY-99,14,15,"TGC","2",16.2,100,2,6
"T05","01",09-MAY-99,14,30,"KT","1",18,80,5,6
"T09","01",09-MAY-99,12,10,"BJH","6",19,80,3,6
"T01","01",10-MAY-99,11,25,"SJC","1",17.2,20,5,6
"T08","01",11-MAY-99,11,40,"MT","3",16,70,5,6
"T02","02",12-MAY-99,13,10,"DH","4",14.2,90,2,6
"T01","01",13-MAY-99,13,30,"SJC","1",16.6,90,9,7
"T05","01",14-MAY-99,13,45,"KT","1",16,,3,7
"T11","01",15-MAY-99,11,5,"AJT","1",10.2,80,2,7
"T06","01",16-MAY-99,11,45,"JEB","4",14,100,1,7
"T02","01",17-MAY-99,14,0,"DH","4",12.5,100,3,7
"T02","02",18-MAY-99,13,40,"DH","4",14.4,100,3,7
"T03","01",18-MAY-99,12,30,"RS","3",15,100,4,7
"T11","01",19-MAY-99,12,30,"AJT","1",12.8,70,0,7
"T06","01",19-MAY-99,11,45,"JEB","4",23,100,1,7
"T08","01",19-MAY-99,11,45,"MDM","1",18,90,1,7
"T04","01",19-MAY-99,12,20,"JKA","1",14.6,100,3,7
"T09","01",19-MAY-99,10,45,"BJH","6",18,90,1,7
"T10","01",19-MAY-99,13,20,"CB","1",18,80,1,7
"T01","01",20-MAY-99,11,0,"SJC","1",19.2,100,3,8
"T08","01",20-MAY-99,11,10,"MT","3",19,90,3,8
"T10","01",20-MAY-99,14,0,"CB","1",20,80,2,8
"T09","01",21-MAY-99,10,50,"BJH","6",17,10,3,8
"T05","01",22-MAY-99,10,45,"KT","1",15,70,5,8
"T02","01",25-MAY-99,13,40,"DH","4",13.2,80,2,8
"T07","01",26-MAY-99,14,6,"TGC","2",15.9,70,3,8
"T06","01",26-MAY-99,11,35,"JEB","4",18,100,2,8
"T02","02",26-MAY-99,14,45,"DH","4",18.6,100,3,8
"T09","01",27-MAY-99,14,30,"BJH","6",24,100,3,9
"T02","01",27-MAY-99,10,45,"DH","4",16,90,2,9
"T10","01",27-MAY-99,14,20,"CB","1",23,100,3,9
"T05","01",27-MAY-99,,,"RES","5",20.5,100,6,9
"T08","01",28-MAY-99,13,40,"MT","3",20,70,4,9
"T02","02",31-MAY-99,13,40,"DH","4",15.3,100,4,9
"T07","01",01-JUN-99,13,45,"TGC","2",16.8,70,2,9
"T06","01",01-JUN-99,11,45,"JEB","4",22,100,1,9
"T01","01",01-JUN-99,13,0,"SJC","1",20,100,2,9
"T01","01",04-JUN-99,12,0,"SJC","1",14.8,70,4,10
"T09","01",08-JUN-99,10,50,"BJH","6",15.7,70,3,10
"T08","01",09-JUN-99,13,20,"MDM","1",17,100,1,10
"T03","01",09-JUN-99,11,5,"HNS","4",13,30,3,10
"T02","01",09-JUN-99,14,0,"DH","4",13.3,60,1,10
"T10","01",09-JUN-99,12,50,"CB","1",15.5,20,2,10
"T02","02",10-JUN-99,14,20,"DH","4",13.1,100,4,11
"T02","01",10-JUN-99,13,5,"DH","4",12.5,100,4,11
"T10","01",11-JUN-99,12,50,"CB","1",17,100,2,11
"T09","01",13-JUN-99,14,40,"BJH","6",19,80,3,11
"T01","01",14-JUN-99,13,0,"SJC","1",20,10,2,11
"T06","01",14-JUN-99,11,45,"JEB","4",21,100,1,11
"T08","01",14-JUN-99,14,10,"MT","3",21,10,1,11
"T07","01",15-JUN-99,13,42,"TGC","2",18.5,100,3,11
"T03","01",16-JUN-99,11,30,"HNS","4",18,100,3,11
"T11","01",16-JUN-99,12,30,"AJT","1",14.9,80,2,11
"T02","01",17-JUN-99,14,0,"DH","4",16.1,90,1,12
"T08","01",17-JUN-99,14,30,"MDM","1",20,70,1,12
"T01","01",17-JUN-99,12,0,"SJC","1",17.1,0,9,12
"T09","01",17-JUN-99,10,50,"BJH","6",19,80,1,12
"T10","01",18-JUN-99,13,30,"CB","1",21,80,2,12
"T03","01",18-JUN-99,11,45,"HNS","4",18,100,2,12
"T05","01",18-JUN-99,11,45,"RES","5",20,100,2,12
"T06","01",23-JUN-99,11,45,"JEB","4",19,100,1,12
"T07","01",24-JUN-99,13,31,"TGC","2",19.8,80,1,13
"T05","01",24-JUN-99,,,"RES","5",20.5,100,1,13
"T08","01",24-JUN-99,14,40,"MT","3",22,90,1,13
"T02","02",25-JUN-99,13,0,"DH","4",19.8,100,4,13
"T11","01",25-JUN-99,13,30,"AJT","1",18.9,80,1,13
"T01","01",25-JUN-99,11,30,"SJC","1",20.5,100,3,13
"T10","01",25-JUN-99,14,45,"CB","1",21,100,2,13
"T02","01",25-JUN-99,11,0,"DH","4",18.5,100,3,13
"T09","01",26-JUN-99,10,50,"BJH","6",23.5,100,2,13
"T03","01",30-JUN-99,11,45,"HNS","4",19,0,2,13
"T11","01",30-JUN-99,11,55,"AJT","1",11.5,40,2,13
"T02","01",02-JUL-99,13,10,"DH","4",15.4,50,2,14
"T08","01",02-JUL-99,13,35,"MT","3",24,100,1,14
"T01","01",02-JUL-99,11,10,"SJC","1",21.7,80,2,14
"T10","01",02-JUL-99,14,20,"CB","1",22,100,3,14
"T09","01",02-JUL-99,14,45,"BJH","6",24,100,2,14
"T05","01",02-JUL-99,12,0,"RES","5",19,100,3,14
"T06","01",02-JUL-99,11,45,"JEB","4",24,100,1,14
"T07","01",05-JUL-99,11,0,"TGC","2",19.8,80,1,14
"T06","01",06-JUL-99,11,45,"JEB","4",23,100,1,14
"T11","01",07-JUL-99,13,0,"AJT","1",16,10,2,14
"T02","02",07-JUL-99,13,45,"DH","4",15,0,1,14
"T01","01",08-JUL-99,13,10,"SJC","1",25.6,100,1,15
"T09","01",08-JUL-99,14,0,"BJH","6",26,80,1,15
"T02","01",08-JUL-99,13,15,"DH","4",23,60,0,15
"T02","02",08-JUL-99,14,45,"DH","4",21,70,1,15
"T10","01",08-JUL-99,14,25,"CB","1",26,80,1,15
"T03","01",08-JUL-99,14,30,"RA","1",25,100,1,15
"T08","01",09-JUL-99,11,20,"MT","3",23.5,80,2,15
"T07","01",13-JUL-99,12,14,"TGC","2",18.2,30,3,15
"T06","01",13-JUL-99,11,45,"JEB","4",22,100,1,15
"T03","01",14-JUL-99,11,5,"RS","3",16,100,4,15
"T08","01",16-JUL-99,13,35,"MDM","1",20,20,3,16
"T05","01",16-JUL-99,,,"RES","5",17,0,3,16
"T01","01",19-JUL-99,11,20,"SJC","1",23,80,4,16
"T07","01",19-JUL-99,13,30,"TGC","2",19,20,2,16
"T02","01",21-JUL-99,14,15,"DH","4",18.1,40,1,16
"T02","02",21-JUL-99,13,0,"DH","4",17.6,80,3,16
"T06","01",23-JUL-99,11,45,"JEB","4",29,100,1,17
"T01","01",23-JUL-99,11,5,"SJC","1",19.4,100,2,17
"T10","01",23-JUL-99,13,10,"CB","1",21,100,1,17
"T02","02",23-JUL-99,10,45,"DH","4",17.5,100,3,17
"T08","01",23-JUL-99,14,20,"MT","3",25,100,1,17
"T09","01",24-JUL-99,11,40,"BJH","6",25,100,1,17
"T02","01",26-JUL-99,13,15,"DH","4",19.5,100,1,17
"T05","01",26-JUL-99,10,30,"RES","5",20,100,4,17
"T07","01",27-JUL-99,14,12,"TGC","2",20.6,100,1,17
"T03","01",28-JUL-99,9,30,"RA","1",19,0,2,17
"T06","01",28-JUL-99,11,25,"JEB","4",28,100,2,17
"T01","01",29-JUL-99,11,10,"SJC","1",21.9,100,3,18
"T09","01",29-JUL-99,11,45,"BJH","6",22,100,1,18
"T03","01",30-JUL-99,11,0,"RA","1",21,100,2,18
"T10","01",30-JUL-99,13,20,"CB","1",27,50,3,18
"T05","01",30-JUL-99,,,"RES","5",23,100,2,18
"T07","01",30-JUL-99,14,20,"TGC","2",23.2,100,1,18
"T08","01",30-JUL-99,14,40,"MT","3",28.5,100,2,18
"T02","02",03-AUG-99,14,55,"DH","4",20.3,100,3,18
"T02","01",03-AUG-99,12,45,"DH","4",23.7,100,3,18
"T03","01",04-AUG-99,10,45,"RA","1",19,0,2,18
"T04","01",04-AUG-99,12,40,"ASG","7",18.4,30,3,18
"T11","01",04-AUG-99,12,18,"AJT","1",18.6,70,1,18
"T01","01",05-AUG-99,13,50,"SJC","1",24.2,100,5,19
"T07","01",05-AUG-99,14,20,"TGC","2",18.5,50,3,19
"T08","01",05-AUG-99,11,30,"MT","3",23,80,3,19
"T02","01",05-AUG-99,13,30,"DH","4",20.1,40,4,19
"T09","01",06-AUG-99,11,5,"BJH","6",24,0,1,19
"T02","02",06-AUG-99,13,30,"DH","4",15.6,0,1,19
"T10","01",06-AUG-99,12,5,"CB","1",22,0,3,19
"T04","01",11-AUG-99,12,30,"JKA","1",12.1,100,2,19
"T11","01",11-AUG-99,12,10,"AJT","1",14.2,10,0,19
"T10","01",12-AUG-99,14,45,"CB","1",21,80,3,20
"T07","01",12-AUG-99,14,20,"TGC","2",17.2,70,3,20
"T05","01",16-AUG-99,11,0,"RES","5",17,90,3,20
"T02","01",16-AUG-99,11,50,"DH","4",15.5,90,1,20
"T02","02",16-AUG-99,13,30,"DH","4",16.4,50,2,20
"T03","01",18-AUG-99,13,0,"HNS","4",18,40,2,20
"T01","01",18-AUG-99,11,15,"SJC","1",18.2,100,1,20
"T08","01",18-AUG-99,15,15,"MDM","1",17,70,1,20
"T09","01",19-AUG-99,13,40,"BJH","6",21,90,3,21
"T01","01",19-AUG-99,14,40,"SJC","1",17.4,90,5,21
"T05","01",20-AUG-99,12,40,"RES","5",19,100,1,21
"T03","01",20-AUG-99,14,50,"HNS","4",20,100,2,21
"T08","01",20-AUG-99,11,5,"MDM","1",18,70,3,21
"T10","01",20-AUG-99,13,15,"CB","1",19,90,1,21
"T02","02",23-AUG-99,13,10,"DH","4",15.3,90,2,21
"T02","01",23-AUG-99,10,50,"DH","4",15.8,100,1,21
"T03","01",25-AUG-99,13,30,"HNS","4",22,100,2,21
"T06","01",25-AUG-99,11,30,"JEB","4",22,20,1,21
"T05","01",26-AUG-99,10,30,"RES","5",22.5,90,4,22
"T08","01",26-AUG-99,11,35,"MDM","1",20,30,3,22
"T09","01",26-AUG-99,14,5,"BJH","6",22,70,3,22
"T10","01",27-AUG-99,13,35,"CB","1",19,0,2,22
"T02","01",30-AUG-99,12,30,"DH","4",19.5,100,2,22
"T02","02",30-AUG-99,13,45,"DH","4",20.3,100,4,22
"T01","01",01-SEP-99,11,15,"SJC","1",20.5,100,1,22
"T11","01",01-SEP-99,13,30,"AJT","1",16.2,80,3,22
"T07","01",01-SEP-99,14,38,"TGC","2",20,80,2,22
"T03","01",02-SEP-99,14,30,"HNS","4",22,0,2,23
"T02","02",02-SEP-99,13,0,"DH","4",21.4,100,4,23
"T01","01",02-SEP-99,11,30,"SJC","1",23.7,100,1,23
"T02","01",02-SEP-99,10,45,"DH","4",20.6,100,3,23
"T08","01",02-SEP-99,13,40,"MT","3",25.5,100,2,23
"T06","01",03-SEP-99,11,45,"JEB","4",26,100,1,23
"T09","01",04-SEP-99,11,0,"BJH","6",21,100,3,23
"T06","01",06-SEP-99,11,45,"JEB","4",25,100,1,23
"T10","01",06-SEP-99,14,10,"OH","3",23.8,100,0,23
"T05","01",06-SEP-99,12,40,"RES","5",22,100,1,23
"T01","01",09-SEP-99,11,30,"SJC","1",17.5,100,2,24
"T10","01",09-SEP-99,14,35,"CB","1",19,100,1,24
"T08","01",09-SEP-99,13,5,"MT","3",20,100,1,24
"T09","01",09-SEP-99,14,45,"BJH","6",21,100,2,24
"T03","01",10-SEP-99,11,5,"HNS","4",21,100,2,24
"T05","01",10-SEP-99,12,25,"RES","5",21,100,3,24
"T02","01",13-SEP-99,13,40,"DH","4",14.8,90,2,24
"T07","01",13-SEP-99,11,7,"TGC","2",14.5,100,3,24
"T02","02",14-SEP-99,13,45,"DH","4",15.5,100,4,24
"T04","01",14-SEP-99,14,30,"JKA","1",13.5,100,2,24
"T11","01",15-SEP-99,12,45,"AJT","1",13.6,100,2,24
"T01","01",16-SEP-99,13,15,"SJC","1",17.3,80,2,25
"T08","01",16-SEP-99,15,40,"MDM","1",18,70,1,25
"T03","01",17-SEP-99,11,45,"HDN","2",22,0,2,25
"T05","01",17-SEP-99,10,30,"RES","5",17.5,100,4,25
"T06","01",21-SEP-99,11,45,"JEB","4",25,100,1,25
"T02","01",21-SEP-99,13,30,"DH","4",14.8,20,3,25
"T10","01",21-SEP-99,14,10,"CB","1",19,40,3,25
"T04","01",22-SEP-99,12,30,"JKA","1",13.7,70,3,25
"T07","01",22-SEP-99,13,40,"TGC","2",18.2,100,3,25
"T02","01",23-SEP-99,14,15,"DH","4",15.2,40,1,26
"T08","01",24-SEP-99,11,20,"MT","3",19,80,4,26
"T03","01",24-SEP-99,12,55,"HNS","4",21,0,2,26
"T06","01",28-SEP-99,11,45,"JEB","4",26,100,1,26
"T02","02",28-SEP-99,13,25,"DH","4",15.5,20,1,26
"T10","01",28-SEP-99,14,10,"CB","1",16.5,90,3,26
"T09","01",28-SEP-99,10,50,"BJH","6",17.5,90,3,26
"T01","01",28-SEP-99,11,10,"SJC","1",16,90,3,26
"T03","01",29-SEP-99,12,55,"HNS","4",19,0,2,26
"T01","01",25-MAR-00,,,"SJC","1",,,9,
"T06","01",06-APR-00,11,40,"JEB","4",13,100,2,1
"T09","01",07-APR-00,13,5,"MRJ","2",14.4,100,2,1
"T10","01",07-APR-00,14,10,"RJR","2",13,100,1,1
"T01","01",07-APR-00,12,45,"SJC","1",14,100,2,1
"T05","01",07-APR-00,,,"RES","5",1.2,100,2,1
"T01","01",08-APR-00,,,"SJC","1",,,9,2
"T09","01",10-APR-00,13,0,"MRJ","2",12,100,4,2
"T10","01",10-APR-00,14,0,"RJR","2",14,100,4,2
"T05","01",10-APR-00,11,45,"RES","5",1.3,100,3,2
"T08","01",19-APR-00,14,5,"MDM","1",14,90,5,3
"T06","01",19-APR-00,10,0,"JEB","4",13,100,1,3
"T09","01",19-APR-00,11,25,"CT","4",13,100,3,3
"T10","01",19-APR-00,13,25,"RJR","2",14,100,3,3
"T01","01",19-APR-00,11,25,"SJC","1",13,100,2,3
"T10","01",27-APR-00,13,20,"RJR","2",14,80,3,4
"T01","01",27-APR-00,13,45,"SJC","1",16,90,2,4
"T05","01",28-APR-00,,,"KCT","1",1.4,40,1,4
"T09","01",28-APR-00,13,40,"MRJ","2",15.1,50,3,4
"T05","01",29-APR-00,,,"KCT","1",1.5,80,3,5
"T10","01",01-MAY-00,14,30,"RJR","2",17,90,3,5
"T01","01",02-MAY-00,13,45,"SE","2",16,80,3,5
"T08","01",02-MAY-00,13,55,"MT","3",15,70,4,5
"T03","01",03-MAY-00,11,0,"HNS","4",14,100,1,5
"T04","02",04-MAY-00,15,0,"IHF","1",11,100,1,5
"T02","01",04-MAY-00,13,5,"DH","4",11.6,100,1,5
"T09","01",05-MAY-00,13,50,"MRJ","2",19.8,100,4,5
"T06","01",05-MAY-00,11,50,"JEB","4",15,80,2,5
"T05","01",06-MAY-00,,,"KCT","1",2,100,3,6
"T06","01",07-MAY-00,12,0,"JEB","4",19,100,2,6
"T04","02",07-MAY-00,15,0,"IHF","1",19,100,1,6
"T02","02",08-MAY-00,11,50,"DH","4",17.5,100,1,6
"T02","01",08-MAY-00,15,0,"DH","4",17.5,100,9,6
"T10","01",09-MAY-00,14,50,"RJR","2",22,100,1,6
"T01","01",09-MAY-00,13,20,"SE","2",19,90,1,6
"T09","01",09-MAY-00,13,5,"MRJ","2",21.9,70,2,6
"T08","01",09-MAY-00,14,20,"MT","3",20,70,3,6
"T11","01",10-MAY-00,11,35,"SJM","2",,100,2,6
"T03","01",10-MAY-00,12,15,"HNS","4",17,100,1,6
"T07","01",11-MAY-00,13,20,"TGC","2",11.4,100,2,6
"T05","01",13-MAY-00,,,"KCT","1",2,100,3,7
"T04","02",14-MAY-00,16,0,"IHF","1",22,100,1,7
"T02","01",15-MAY-00,11,40,"DH","4",16,0,2,7
"T07","01",15-MAY-00,11,50,"TGC","2",21,100,1,7
"T08","01",15-MAY-00,14,55,"MT","3",25,100,2,7
"T09","01",15-MAY-00,13,10,"JCT","4",24.6,100,2,7
"T01","01",15-MAY-00,13,40,"SE","2",24,80,3,7
"T06","01",15-MAY-00,11,40,"JEB","4",26,100,1,7
"T02","02",17-MAY-00,13,10,"DH","4",13,60,3,7
"T10","01",18-MAY-00,14,30,"RJR","2",14,80,4,7
"T06","01",22-MAY-00,11,40,"JEB","4",15,80,0,8
"T07","01",22-MAY-00,11,5,"TGC","2",12.1,70,2,8
"T04","02",22-MAY-00,15,0,"IHF","1",13,80,2,8
"T08","01",22-MAY-00,14,26,"MDM","1",18,70,5,8
"T09","01",22-MAY-00,13,0,"JCT","4",17,70,4,8
"T01","01",24-MAY-00,10,55,"SJC","1",15,80,3,8
"T10","01",24-MAY-00,13,40,"RJR","2",18,60,2,8
"T03","01",24-MAY-00,11,50,"HNS","4",13,40,1,8
"T05","01",25-MAY-00,,,"KCT","1",1.4,80,5,8
"T02","01",25-MAY-00,11,30,"DH","4",11.5,70,2,8
"T02","02",26-MAY-00,11,30,"DH","4",12,80,3,8
"T07","01",29-MAY-00,13,46,"TGC","2",12.5,100,2,9
"T04","02",29-MAY-00,16,0,"IHF","1",13,100,2,9
"T09","01",31-MAY-00,13,0,"JCT","4",16.9,100,3,9
"T01","01",31-MAY-00,11,30,"SE","2",18,100,2,9
"T05","01",31-MAY-00,9,30,"KCT","1",1.6,90,4,9
"T03","01",31-MAY-00,12,35,"HNS","4",14,50,2,9
"T06","01",31-MAY-00,11,45,"JEB","4",16,100,0,9
"T08","01",31-MAY-00,11,40,"MDM","1",16,80,4,9
"T02","02",02-JUN-00,11,50,"DH","4",11.2,100,3,9
"T10","01",02-JUN-00,14,0,"RJR","2",18,70,3,9
"T02","01",02-JUN-00,13,30,"DH","4",12.9,100,1,9
"T05","01",05-JUN-00,,,"KCT","1",1.8,100,4,10
"T02","01",06-JUN-00,14,15,"DH","4",13,90,1,10
"T06","01",06-JUN-00,11,55,"JEB","4",15,60,1,10
"T01","01",07-JUN-00,10,50,"SJC","1",16,90,2,10
"T07","01",07-JUN-00,13,42,"TGC","2",14.6,100,3,10
"T08","01",07-JUN-00,12,0,"MDM","1",18,80,1,10
"T09","01",07-JUN-00,13,7,"JCT","4",18.4,90,3,10
"T10","01",07-JUN-00,14,25,"RJR","2",19,80,3,10
"T11","01",07-JUN-00,12,10,"HH","4",,10,1,10
"T06","01",07-JUN-00,11,10,"JEB","4",16,100,1,10
"T02","02",07-JUN-00,10,40,"DH","4",14.9,100,2,10
"T04","02",08-JUN-00,16,0,"IHF","1",17.4,50,1,10
"T04","02",10-JUN-00,15,0,"IHF","1",14,100,2,11
"T05","01",10-JUN-00,9,30,"KCT","1",1.6,70,3,11
"T09","01",12-JUN-00,13,0,"JCT","4",21.4,100,2,11
"T06","01",12-JUN-00,11,45,"JEB","4",20,100,1,11
"T08","01",12-JUN-00,11,45,"MT","3",21,70,4,11
"T02","01",13-JUN-00,13,25,"DH","4",15.2,100,5,11
"T03","01",14-JUN-00,11,30,"HNS","4",15,100,1,11
