"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T08","01",03-AUG-93,11,30,"MDM","1",18,50,3,18
"T05","01",05-AUG-93,11,30,"KT","1",16,90,5,19
"T03","01",06-AUG-93,10,50,"HDN","2",18,80,3,19
"T06","01",10-AUG-93,11,40,"DB","5",17,70,5,19
"T07","01",10-AUG-93,13,0,"AB","1",16,60,2,19
"T05","01",12-AUG-93,11,25,"KT","1",16,60,6,20
"T06","01",13-AUG-93,11,46,"DB","5",19,100,4,20
"T01","01",13-AUG-93,13,5,"SJC","1",18.5,40,5,20
"T08","01",13-AUG-93,11,30,"CAW","2",18,60,1,20
"T08","01",16-AUG-93,14,35,"CAW","2",20,80,3,20
"T07","01",17-AUG-93,,,"AB","1",17,100,1,20
"T04","01",17-AUG-93,11,40,"ALG","3",22,100,3,20
"T05","01",17-AUG-93,11,10,"KT","1",19,70,3,20
"T04","02",17-AUG-93,15,0,"IHF","1",19,100,1,20
"T05","01",19-AUG-93,11,0,"KT","1",22,100,3,21
"T01","01",19-AUG-93,14,45,"SJC","1",23.8,40,4,21
"T03","01",20-AUG-93,11,20,"RS","3",17,60,1,21
"T04","02",20-AUG-93,14,0,"IHF","1",19,50,1,21
"T08","01",20-AUG-93,11,0,"CAW","2",20,20,4,21
"T06","01",24-AUG-93,12,0,"JEB","4",15,90,4,21
"T05","01",26-AUG-93,11,15,"KT","1",17,80,3,22
"T01","01",26-AUG-93,11,30,"SJC","1",16,80,3,22
"T06","01",27-AUG-93,11,45,"JEB","4",16,100,5,22
"T03","01",27-AUG-93,10,45,"RS","3",17,80,1,22
"T04","02",28-AUG-93,12,0,"IHF","1",19,100,2,22
"T04","01",31-AUG-93,14,20,"ALG","3",21,80,4,22
"T07","01",31-AUG-93,11,0,"AB","1",18,100,2,22
"T01","01",31-AUG-93,14,20,"SJC","1",20,100,0,22
"T08","01",01-SEP-93,12,0,"MDM","1",22,80,1,22
"T05","01",03-SEP-93,11,10,"KT","1",18,30,3,23
"T06","01",06-SEP-93,11,55,"JEB","4",18,30,2,23
"T01","01",07-SEP-93,11,40,"SJC","1",19.5,90,4,23
"T08","01",07-SEP-93,14,10,"CAW","2",19,10,5,23
"T03","01",10-SEP-93,10,30,"HDN","2",16,70,2,24
"T05","01",10-SEP-93,11,0,"KT","1",15,50,5,24
"T04","02",11-SEP-93,12,0,"IHF","1",16,50,2,24
"T06","01",14-SEP-93,15,5,"JEB","4",15,100,1,24
"T05","01",16-SEP-93,11,30,"KT","1",14,50,4,25
"T04","02",17-SEP-93,13,0,"IHF","1",15,100,1,25
"T01","01",17-SEP-93,14,30,"SJC","1",15.3,100,1,25
"T07","01",17-SEP-93,13,45,"AB","1",16,90,2,25
"T06","01",20-SEP-93,11,35,"JEB","4",17,100,1,25
"T08","01",22-SEP-93,13,45,"CAW","2",16,60,1,25
"T04","01",22-SEP-93,12,0,"TJW","2",20,100,3,25
"T05","01",23-SEP-93,11,0,"KT","1",17,60,9,26
"T04","02",23-SEP-93,12,0,"IHF","1",16,100,1,26
"T01","01",23-SEP-93,14,20,"SJC","1",13.3,60,0,26
"T06","01",24-SEP-93,15,15,"JEB","4",17,100,0,26
"T03","01",24-SEP-93,10,30,"HDN","2",15,70,2,26
"T09","01",06-APR-94,11,10,"HT","1",13,70,2,1
"T06","01",08-APR-94,11,50,"JEB","4",22,100,5,2
