unique_id,site,country,latitude,longitude
1,1,BE,51.314,4.517
1,2,BE,51.314,4.517
1,3,BE,51.314,4.517
1,4,BE,51.314,4.517
2,1,BE,50.981,3.8
2,2,BE,50.981,3.8
2,3,BE,50.981,3.8
2,4,BE,50.981,3.8
3,1,BE,51.300151,4.285094
4,115,NA,51.11999893,2.599999905
4,120,NA,51.18999863,2.700000048
4,140,NA,51.33000183,3.049999952
4,150,NA,51.41999817,3.400000095
4,230,NA,51.31000137,2.849999905
4,315,NA,51.31999969,2.460000038
4,330,NA,51.43000031,2.809999943
4,340,NA,51.5,3
4,421,NA,51.47999954,2.450000048
4,435,NA,51.58000183,2.789999962
4,545,NA,51.72999954,3.049999952
4,700,NA,51.38000107,3.220000029
4,780,NA,51.45999908,3.039999962
4,800,NA,51.84999847,2.869999886
4,820,NA,51.59000015,2.359999895
4,830,NA,51.70999908,2.450000048
4,840,NA,51.74000168,2.650000095
4,115bis,NA,51.09000015,2.369999886
4,150bis,NA,51.40999985,3.319999933
4,B031,NA,51.43000031,3.210000038
4,B032,NA,51.43999863,3.220000029
4,B041,NA,51.43000031,3.269999981
4,B042,NA,51.43999863,3.25
4,B08,NA,51.43999863,3.369999886
5,120,NA,51.18999863,2.700000048
5,140,NA,51.33000183,3.049999952
5,250,NA,51.52000046,3.319999933
5,315,NA,51.31999969,2.460000038
5,330,NA,51.43000031,2.809999943
5,545,NA,51.72999954,3.049999952
5,780,NA,51.45999908,3.039999962
5,800,NA,51.84999847,2.869999886
5,B041,NA,51.43000031,3.269999981
5,B08,NA,51.43999863,3.369999886
6,AleksandarStamboliyski_Res,BG,43.08763885,25.07380486
6,Alepu_lake_complex,BG,42.35754,27.70975
6,Arkutino_lake_complex,BG,42.32925,27.72422
6,Atanasovsko_lake_complex,BG,42.56327,27.47427
6,Black sea coast: Chernomorets - Dyuni,BG,42.45890427,27.62852859
6,Black sea coast: Dalyana - Vlas,BG,42.69876,27.83902
6,Black sea coast: Kamchia - Irakli,BG,42.86511,27.89948
6,Black sea coast: Tyulenovo - Kaliakra,BG,43.42185,28.5275
6,Srebarna Lake,BG,44.10764,27.07529
7,KiO3,DE,50.18688582,9.100367643
7,Bieb,DE,50.160917,9.318498
7,Auba,DE,50.037406,9.428786
8,LTER_EU_DE_036,DE,54.833333,5.583333
9,LTER_EU_BE_02,BE,50.746,4.4133
10,GB5,BE,51.35753099,4.246835876
10,GB16,BE,51.36537273,4.237817054
10,GB15,BE,51.35854458,4.243949062
10,GB17,BE,51.3700524,4.234963292
10,DO4,BE,51.33500478,4.25494192
10,GB9,BE,51.36114845,4.245800054
10,GB22,BE,51.36475582,4.243361562
10,DO5,BE,51.33546312,4.256078674
10,GB18,BE,51.36885209,4.243607452
10,GS2,BE,51.31166711,4.282447006
10,GB12,BE,51.36728325,4.244657374
10,GBR,BE,51.36224282,4.245319783
10,GB14,BE,51.36635752,4.242996059
10,GB25,BE,51.3619644,4.242834294
10,GB20,BE,51.36513808,4.246203034
10,GBL,BE,51.35793471,4.246688512
10,GB21,BE,51.36498822,4.245187493
10,GB10,BE,51.36258924,4.246676359
10,GB4,BE,51.35842902,4.248494597
