LCODE,SITECODE,,SDATE,SECTION,FIELDNAME,VALUE,BROODED,,,,,,,
1,T01,,31-Aug-93,1,2,1,,,1993,8,31,,49,Abundance
1,T07,,31-Aug-93,2,2,1,,,1993,8,31,,49,Abundance
1,T08,,01-Sep-93,11,2,1,,,1993,9,1,,49,Abundance
1,T05,,03-Sep-93,1,2,10,,,1993,9,3,,49,Abundance
1,T05,,03-Sep-93,3,2,4,,,1993,9,3,,49,Abundance
1,T05,,03-Sep-93,10,2,3,,,1993,9,3,,49,Abundance
1,T08,,07-Sep-93,11,2,1,,,1993,9,7,,49,Abundance
1,T08,,07-Sep-93,13,2,1,,,1993,9,7,,49,Abundance
1,T05,,10-Sep-93,1,2,1,,,1993,9,10,,49,Abundance
1,T05,,10-Sep-93,3,2,1,,,1993,9,10,,49,Abundance
1,T05,,10-Sep-93,10,2,1,,,1993,9,10,,49,Abundance
1,T05,,10-Sep-93,2,2,1,,,1993,9,10,,49,Abundance
2,T04,,11-Sep-93,1,2,1,,,1993,9,11,,49,Abundance
1,T05,,16-Sep-93,1,2,2,,,1993,9,16,,49,Abundance
2,T04,,17-Sep-93,1,2,1,,,1993,9,17,,49,Abundance
2,T04,,17-Sep-93,4,2,1,,,1993,9,17,,49,Abundance
1,T05,,23-Sep-93,10,2,2,,,1993,9,23,,49,Abundance
1,T05,,23-Sep-93,11,2,1,,,1993,9,23,,49,Abundance
2,T04,,23-Sep-93,4,2,1,,,1993,9,23,,49,Abundance
2,T04,,23-Sep-93,7,2,1,,,1993,9,23,,49,Abundance
1,T05,,23-Sep-93,1,2,1,,,1993,9,23,,49,Abundance
1,T05,,11-Apr-94,1,2,1,,,1994,4,11,,49,Abundance
1,T05,,11-Apr-94,2,2,1,,,1994,4,11,,49,Abundance
1,T01,,11-Apr-94,4,2,1,,,1994,4,11,,49,Abundance
1,T01,,11-Apr-94,6,2,1,,,1994,4,11,,49,Abundance
1,T01,,11-Apr-94,9,2,1,,,1994,4,11,,49,Abundance
1,T05,,18-Apr-94,9,2,1,,,1994,4,18,,49,Abundance
1,T06,,21-Apr-94,10,2,1,,,1994,4,21,,49,Abundance
1,T01,,21-Apr-94,3,2,1,,,1994,4,21,,49,Abundance
1,T01,,21-Apr-94,4,2,3,,,1994,4,21,,49,Abundance
1,T01,,21-Apr-94,6,2,1,,,1994,4,21,,49,Abundance
1,T01,,21-Apr-94,7,2,1,,,1994,4,21,,49,Abundance
1,T01,,21-Apr-94,8,2,1,,,1994,4,21,,49,Abundance
1,T01,,21-Apr-94,9,2,1,,,1994,4,21,,49,Abundance
1,T08,,22-Apr-94,1,2,1,,,1994,4,22,,49,Abundance
1,T06,,22-Apr-94,10,2,1,,,1994,4,22,,49,Abundance
1,T01,,22-Apr-94,3,2,1,,,1994,4,22,,49,Abundance
1,T01,,22-Apr-94,4,2,3,,,1994,4,22,,49,Abundance
1,T01,,22-Apr-94,7,2,5,,,1994,4,22,,49,Abundance
1,T01,,22-Apr-94,9,2,3,,,1994,4,22,,49,Abundance
1,T01,,22-Apr-94,10,2,1,,,1994,4,22,,49,Abundance
1,T05,,26-Apr-94,1,2,1,,,1994,4,26,,49,Abundance
1,T03,,26-Apr-94,4,2,1,,,1994,4,26,,49,Abundance
1,T01,,29-Apr-94,4,2,9,,,1994,4,29,,49,Abundance
1,T01,,29-Apr-94,5,2,1,,,1994,4,29,,49,Abundance
1,T01,,29-Apr-94,6,2,1,,,1994,4,29,,49,Abundance
1,T06,,29-Apr-94,7,2,1,,,1994,4,29,,49,Abundance
